id,date,season,event_name,match_type,match_number,city,venue,team1,team2,referee,reserve_umpire,tv_umpire,umpire1,umpire2,team1players,team2players,toss_winner,toss_decision,winner,result,eliminator,wonBy,margin,method,player_of_match
335982,18-04-2008,2007/08,Indian Premier League,T20,1,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kolkata Knight Riders,['J Srinath'],['VN Kulkarni'],['AM Saheba'],Asad Rauf,RE Koertzen,"['R Dravid', 'W Jaffer', 'V Kohli', 'JH Kallis', 'CL White', 'MV Boucher', 'B Akhil', 'AA Noffke', 'P Kumar', 'Z Khan', 'SB Joshi']","['SC Ganguly', 'BB McCullum', 'RT Ponting', 'DJ Hussey', 'Mohammad Hafeez', 'LR Shukla', 'WP Saha', 'AB Agarkar', 'AB Dinda', 'M Kartik', 'I Sharma']",Royal Challengers Bangalore,field,Kolkata Knight Riders,,,runs,140,,['BB McCullum']
335983,19-04-2008,2007/08,Indian Premier League,T20,2,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Chennai Super Kings,['S Venkataraghavan'],['MSS Ranawat'],['RB Tiffin'],MR Benson,SL Shastri,"['K Goel', 'JR Hopes', 'KC Sangakkara', 'Yuvraj Singh', 'SM Katich', 'IK Pathan', 'P Dharmani', 'B Lee', 'PP Chawla', 'WA Mota', 'S Sreesanth']","['PA Patel', 'ML Hayden', 'MEK Hussey', 'MS Dhoni', 'SK Raina', 'JDP Oram', 'S Badrinath', 'Joginder Sharma', 'P Amarnath', 'MS Gony', 'M Muralitharan']",Chennai Super Kings,bat,Chennai Super Kings,,,runs,33,,['MEK Hussey']
335984,19-04-2008,2007/08,Indian Premier League,T20,3,Delhi,Feroz Shah Kotla,Delhi Daredevils,Rajasthan Royals,['GR Viswanath'],,['IL Howell'],Aleem Dar,GA Pratapkumar,"['G Gambhir', 'V Sehwag', 'S Dhawan', 'MK Tiwary', 'KD Karthik', 'R Bhatia', 'M Manhas', 'DL Vettori', 'MF Maharoof', 'B Geeves', 'GD McGrath']","['T Kohli', 'YK Pathan', 'SR Watson', 'M Kaif', 'DS Lehmann', 'RA Jadeja', 'M Rawat', 'D Salunkhe', 'SK Warne', 'SK Trivedi', 'MM Patel']",Rajasthan Royals,bat,Delhi Daredevils,,,wickets,9,,['MF Maharoof']
335986,20-04-2008,2007/08,Indian Premier League,T20,4,Kolkata,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,['FM Engineer'],['F Gomes'],['Asad Rauf'],BF Bowden,K Hariharan,"['WP Saha', 'BB McCullum', 'RT Ponting', 'SC Ganguly', 'DJ Hussey', 'Mohammad Hafeez', 'LR Shukla', 'AB Agarkar', 'AB Dinda', 'M Kartik', 'I Sharma']","['AC Gilchrist', 'Y Venugopal Rao', 'VVS Laxman', 'A Symonds', 'RG Sharma', 'SB Styris', 'AS Yadav', 'SB Bangar', 'WPUJC Vaas', 'RP Singh', 'PP Ojha']",Deccan Chargers,bat,Kolkata Knight Riders,,,wickets,5,,['DJ Hussey']
335985,20-04-2008,2007/08,Indian Premier League,T20,5,Mumbai,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,['J Srinath'],['SN Bandekar'],['AV Jayaprakash'],SJ Davis,DJ Harper,"['L Ronchi', 'ST Jayasuriya', 'DJ Thornely', 'RV Uthappa', 'PR Shah', 'AM Nayar', 'SM Pollock', 'Harbhajan Singh', 'MA Khote', 'A Nehra', 'DS Kulkarni']","['S Chanderpaul', 'R Dravid', 'LRPL Taylor', 'JH Kallis', 'V Kohli', 'MV Boucher', 'B Akhil', 'P Kumar', 'Z Khan', 'SB Joshi', 'R Vinay Kumar']",Mumbai Indians,bat,Royal Challengers Bangalore,,,wickets,5,,['MV Boucher']
335987,21-04-2008,2007/08,Indian Premier League,T20,6,Jaipur,Sawai Mansingh Stadium,Rajasthan Royals,Kings XI Punjab,['S Venkataraghavan'],['MSS Ranawat'],['I Shivram'],Aleem Dar,RB Tiffin,"['M Kaif', 'Kamran Akmal', 'YK Pathan', 'SR Watson', 'DS Lehmann', 'RA Jadeja', 'Pankaj Singh', 'D Salunkhe', 'SK Warne', 'SK Trivedi', 'MM Patel']","['K Goel', 'JR Hopes', 'KC Sangakkara', 'DPMD Jayawardene', 'Yuvraj Singh', 'IK Pathan', 'S Sohal', 'B Lee', 'PP Chawla', 'WA Mota', 'S Sreesanth']",Kings XI Punjab,bat,Rajasthan Royals,,,wickets,6,,['SR Watson']
335988,22-04-2008,2007/08,Indian Premier League,T20,7,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Daredevils,['Talat Ali'],['C Shamshuddin'],['MR Benson'],IL Howell,AM Saheba,"['AC Gilchrist', 'Y Venugopal Rao', 'VVS Laxman', 'A Symonds', 'RG Sharma', 'Shahid Afridi', 'SB Bangar', 'AS Yadav', 'WPUJC Vaas', 'RP Singh', 'PP Ojha']","['G Gambhir', 'V Sehwag', 'S Dhawan', 'Shoaib Malik', 'KD Karthik', 'MK Tiwary', 'R Bhatia', 'MF Maharoof', 'Mohammad Asif', 'VY Mahesh', 'GD McGrath']",Deccan Chargers,bat,Delhi Daredevils,,,wickets,9,,['V Sehwag']
335989,23-04-2008,2007/08,Indian Premier League,T20,8,Chennai,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,['FM Engineer'],['S Ravi'],['BF Bowden'],DJ Harper,GA Pratapkumar,"['PA Patel', 'ML Hayden', 'MEK Hussey', 'SK Raina', 'MS Dhoni', 'JDP Oram', 'S Badrinath', 'Joginder Sharma', 'P Amarnath', 'MS Gony', 'M Muralitharan']","['L Ronchi', 'ST Jayasuriya', 'RV Uthappa', 'SM Pollock', 'DJ Bravo', 'AM Nayar', 'MA Khote', 'Harbhajan Singh', 'A Nehra', 'VS Yeligati', 'DS Kulkarni']",Mumbai Indians,field,Chennai Super Kings,,,runs,6,,['ML Hayden']
335990,24-04-2008,2007/08,Indian Premier League,T20,9,Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,['S Venkataraghavan'],['C Shamshuddin'],['SL Shastri'],Asad Rauf,MR Benson,"['AC Gilchrist', 'VVS Laxman', 'Shahid Afridi', 'A Symonds', 'RG Sharma', 'AS Yadav', 'SB Bangar', 'WPUJC Vaas', 'RP Singh', 'PP Ojha', 'D Kalyankrishna']","['Kamran Akmal', 'GC Smith', 'YK Pathan', 'SR Watson', 'M Kaif', 'RA Jadeja', 'SK Warne', 'D Salunkhe', 'Pankaj Singh', 'SK Trivedi', 'MM Patel']",Rajasthan Royals,field,Rajasthan Royals,,,wickets,3,,['YK Pathan']
335991,25-04-2008,2007/08,Indian Premier League,T20,10,Chandigarh,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,['FM Engineer'],['HS Sekhon'],['RE Koertzen'],Aleem Dar,AM Saheba,"['K Goel', 'IK Pathan', 'KC Sangakkara', 'Yuvraj Singh', 'RR Sarwan', 'DPMD Jayawardene', 'S Sohal', 'B Lee', 'PP Chawla', 'S Sreesanth', 'VRV Singh']","['L Ronchi', 'ST Jayasuriya', 'RV Uthappa', 'DJ Bravo', 'SS Tiwary', 'SM Pollock', 'AM Nayar', 'Harbhajan Singh', 'MA Khote', 'DS Kulkarni', 'A Nehra']",Mumbai Indians,field,Kings XI Punjab,,,runs,66,,['KC Sangakkara']
335993,26-04-2008,2007/08,Indian Premier League,T20,11,Chennai,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,['Talat Ali'],['S Ravi'],['SJ Davis'],BF Bowden,AV Jayaprakash,"['PA Patel', 'ML Hayden', 'MS Dhoni', 'MEK Hussey', 'S Badrinath', 'SK Raina', 'JDP Oram', 'Joginder Sharma', 'P Amarnath', 'MS Gony', 'M Muralitharan']","['SC Ganguly', 'BB McCullum', 'RT Ponting', 'WP Saha', 'DJ Hussey', 'Mohammad Hafeez', 'LR Shukla', 'AB Agarkar', 'M Kartik', 'I Sharma', 'AB Dinda']",Kolkata Knight Riders,bat,Chennai Super Kings,,,wickets,9,,['JDP Oram']
335992,26-04-2008,2007/08,Indian Premier League,T20,12,Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Rajasthan Royals,['J Srinath'],['SK Tarapore'],['GA Pratapkumar'],MR Benson,IL Howell,"['S Chanderpaul', 'R Dravid', 'LRPL Taylor', 'JH Kallis', 'V Kohli', 'MV Boucher', 'P Kumar', 'SB Joshi', 'Z Khan', 'R Vinay Kumar', 'A Kumble']","['GC Smith', 'M Rawat', 'YK Pathan', 'SR Watson', 'M Kaif', 'RA Jadeja', 'D Salunkhe', 'SK Warne', 'Sohail Tanvir', 'SK Trivedi', 'MM Patel']",Rajasthan Royals,field,Rajasthan Royals,,,wickets,7,,['SR Watson']
